29 24 0 40 0 0 37 0 0 0 0 37 35 50 8 0 1 0 20 37 19 37 0 0 21 0.51
3 0 0 3 5 0 1 0 0 0 0 5 0 0 3 5 0 0 3 0 0 0 0 0 0 0.11
1 0 0 2 3 3 0 1 0 0 0 0 0 0 0 1 0 2 2 0 0 1 3 1 6 0.1
0 0 47 0 55 39 62 0 39 0 50 0 37 0 0 4 0 51 51 0 31 21 30 31 0 0.53
8 0 5 0 0 0 12 0 0 0 16 12 0 11 3 0 3 4 13 3 0 8 0 0 8 0.36
5 0 0 3 0 0 6 0 0 3 1 3 0 2 0 0 0 5 0 3 4 0 2 0 0 0.14
35 144 0 94 6 0 27 34 41 0 35 5 0 35 0 40 82 46 100 24 38 51 17 58 0 0.72
45 0 35 86 0 16 6 19 32 2 21 53 42 28 40 43 39 32 0 35 40 0 0 0 0 0.67
5 0 0 13 2 9 4 9 10 7 9 9 8 7 0 0 3 2 0 6 3 0 3 2 10 0.47
33 22 0 0 0 33 47 14 0 72 0 38 0 25 0 32 42 26 0 0 0 0 32 0 0 0.48
0 4 2 0 0 5 3 1 0 2 1 0 4 0 0 0 1 0 4 0 1 4 0 0 0 0.12
5 5 8 7 0 19 3 0 2 0 0 0 0 0 3 4 10 0 0 0 0 4 3 13 6 0.32
3 5 0 0 10 1 2 2 0 1 0 23 0 5 2 9 1 2 0 9 8 3 13 3 7 0.37
5 0 0 7 0 3 2 2 9 0 0 6 0 5 12 1 0 0 0 16 0 5 0 2 6 0.29
2 3 4 0 0 2 1 0 0 0 1 0 0 0 2 0 0 1 0 2 0 1 3 0 1 0.09
4 0 40 0 0 39 0 24 40 0 0 48 18 0 13 48 0 35 35 0 4 0 0 3 16 0.48
9 6 7 0 6 0 0 0 1 13 3 0 0 5 16 8 6 0 12 20 0 1 23 1 6 0.43
0 2 0 0 0 6 0 0 0 0 2 0 0 0 2 0 1 3 1 0 1 0 3 0 0 0.08
6 10 1 11 2 5 0 5 2 12 2 10 1 1 4 2 0 3 19 14 10 11 0 3 5 0.48
0 1 0 0 0 2 3 0 0 0 0 0 2 3 0 0 1 0 3 0 1 0 0 0 0 0.06
0 4 0 0 6 0 0 0 3 0 3 0 2 1 0 0 1 0 0 0 0 0 0 2 0 0.08
0 4 6 0 0 0 10 14 14 0 9 0 1 0 1 0 1 6 10 4 11 1 0 10 4 0.38
0 7 0 0 16 14 0 2 3 2 4 0 8 7 11 18 0 2 0 16 0 0 0 2 0 0.34
6 1 2 3 17 2 10 0 0 0 2 12 0 2 0 0 0 1 3 0 0 0 0 0 0 0.2
0 5 4 1 1 9 7 3 22 5 13 3 8 11 0 6 1 3 4 8 4 9 2 19 0 0.49
1 6 4 0 0 0 11 0 2 0 0 0 13 17 0 8 2 11 0 8 0 4 15 10 2 0.38
1 0 2 3 0 1 0 13 5 0 3 3 0 1 16 7 0 0 9 0 3 5 0 3 4 0.28
14 17 0 23 41 0 24 16 0 0 92 27 37 0 17 0 38 32 0 32 0 3 0 14 40 0.61
0 2 0 0 0 1 0 3 0 0 4 2 0 0 0 0 1 0 0 1 0 2 3 0 0 0.07
39 0 18 33 9 33 4 11 32 35 2 0 0 29 27 0 34 0 31 41 30 51 26 29 38 0.74
46 31 148 60 0 0 0 0 28 0 0 31 0 16 8 0 0 0 49 38 0 0 10 21 11 0.51
0 8 4 10 0 0 9 0 4 3 3 11 5 10 0 2 0 0 0 0 15 1 0 10 10 0.39
0 2 1 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 1 3 0 0 0 0 1 0.05
2 1 0 3 0 14 18 0 13 0 0 9 13 0 7 0 0 11 13 0 0 3 4 1 3 0.37
4 3 8 0 11 1 9 1 6 2 1 0 3 3 2 0 11 9 0 0 0 13 6 0 8 0.38
2 2 0 0 1 0 8 0 7 0 4 10 0 8 2 18 0 3 5 1 4 0 0 6 1 0.29
