3 2 3 6 0 0 5 0 0 4 6 4 1 1 0 0 0 4 0 0 0 4 0 2 1 0 3 3 0 2 0 3 0 0.17
15 0 0 0 0 5 0 0 6 4 0 0 7 9 3 9 2 1 13 2 3 0 0 0 2 9 9 12 1 0 6 11 0 0.35
8 0 0 7 6 2 0 0 0 0 2 9 17 5 2 1 17 6 8 1 2 0 6 10 14 0 0 0 2 0 0 0 6 0.34
0 1 0 0 2 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 5 0 0 4 0 1 2 0 0 3 0 3 0 0.08
8 2 0 0 0 4 3 4 9 4 0 0 10 0 2 2 14 10 2 7 0 1 2 1 4 3 11 0 3 3 5 17 3 0.36
0 10 0 90 2 0 43 32 32 1 0 33 33 8 21 50 32 4 22 38 0 86 31 0 0 27 0 0 15 6 16 0 32 0.6
7 0 3 19 0 0 0 8 0 0 0 2 0 16 17 10 0 12 6 6 0 0 0 6 0 1 3 14 8 0 6 0 0 0.35
0 0 0 0 0 3 0 0 3 0 0 0 4 2 0 0 1 0 5 0 0 0 0 5 1 0 2 0 1 3 2 0 2 0.1
101 0 21 0 36 53 0 28 11 46 48 0 33 0 0 18 69 0 0 0 2 9 0 0 0 0 31 0 47 18 31 31 113 0.54
0 0 5 0 0 0 0 0 0 0 0 1 0 5 3 3 0 0 4 0 0 0 0 0 0 6 0 4 0 0 0 0 0 0.09
1 15 6 19 11 6 0 2 9 14 0 3 0 3 7 0 0 9 0 3 17 1 3 0 1 13 0 2 0 0 0 0 18 0.38
23 0 0 0 0 0 0 7 50 0 0 17 5 48 0 22 40 79 0 41 0 48 0 33 0 100 135 0 25 0 0 0 27 0.46
0 5 0 18 7 0 13 6 12 0 0 9 5 2 5 11 7 0 0 0 3 0 8 5 0 2 0 0 5 4 0 0 0 0.34
10 0 3 10 7 0 9 12 0 0 0 10 0 7 2 0 0 0 0 0 18 0 7 10 8 0 5 0 0 3 0 7 1 0.36
2 3 1 0 0 0 0 0 0 0 1 2 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 0 1 4 0.06
0 0 0 0 3 4 0 3 4 0 0 0 0 0 0 0 2 2 0 5 0 0 0 0 0 0 0 0 1 0 0 0 0 0.07
0 36 40 93 14 0 132 0 49 0 37 8 25 0 26 25 0 0 35 27 148 36 33 0 0 0 0 0 0 0 39 0 0 0.5
4 0 38 19 16 35 35 46 3 13 114 0 16 0 0 145 8 0 40 0 0 0 0 0 45 20 40 28 0 0 0 12 38 0.56
0 3 7 0 6 24 3 1 0 0 7 0 9 2 0 5 10 0 3 2 16 2 0 9 0 7 6 5 6 0 5 4 1 0.37
0 16 8 3 1 2 0 4 6 3 3 1 3 0 15 3 1 10 5 0 5 0 14 2 2 0 13 4 8 2 10 0 0 0.38
0 0 0 0 0 0 0 4 0 0 0 0 3 3 0 0 0 0 1 4 0 4 0 0 0 1 0 0 1 0 0 2 3 0.07
2 2 10 9 0 9 9 0 0 8 2 6 3 7 0 2 13 0 0 4 9 1 6 0 4 2 3 0 13 0 2 3 10 0.4
2 3 1 1 1 4 11 1 4 0 13 1 2 0 2 21 4 8 2 0 4 3 0 1 0 2 0 21 9 2 12 9 3 0.36
