0 11 5 6 0 0 0 2 1 10 11 1 0 18 0 0.36
34 2 0 142 34 12 0 0 3 0 21 53 11 33 0 0.56
4 2 1 0 0 3 0 1 4 0 1 1 6 2 3 0.18
0 0 1 0 0 4 0 1 1 5 4 3 0 2 0 0.14
0 0 0 0 0 0 4 0 1 0 3 0 3 3 0 0.09
2 11 9 9 3 3 2 13 0 0 1 0 6 0 7 0.41
149 38 0 28 41 47 0 46 0 25 30 0 0 85 34 0.66
0 0 3 0 2 1 1 0 1 1 3 0 0 0 0 0.08
36 31 0 0 33 21 0 0 0 52 0 51 44 9 0 0.52
7 1 13 0 5 19 1 1 2 6 0 0 4 8 7 0.41
136 0 21 0 0 0 46 46 45 23 0 0 15 37 26 0.6
6 0 10 0 2 0 0 0 17 0 11 3 0 8 10 0.39
0 2 2 6 0 6 0 0 0 3 0 0 0 3 0 0.14
9 3 21 0 7 5 15 4 0 10 10 2 8 5 8 0.6
0 16 0 41 0 39 34 0 14 0 28 0 0 32 0 0.46
0 1 0 9 0 0 0 3 0 0 0 5 2 17 0 0.2
0 0 3 0 0 5 0 3 0 0 1 0 0 2 0 0.09
2 2 0 0 8 7 6 14 0 7 0 0 6 0 3 0.33
1 7 19 1 11 1 0 3 4 8 3 3 3 2 4 0.4
1 0 15 0 0 0 0 8 0 0 2 0 0 0 5 0.17
0 0 0 0 1 0 0 3 0 0 4 1 6 0 0 0.1
0 0 12 3 3 1 0 7 0 9 0 0 0 0 1 0.22
1 0 0 4 2 3 2 0 1 2 4 0 2 0 5 0.17
0 0 1 0 1 2 0 4 21 3 4 9 0 6 6 0.3
31 149 0 1 35 42 31 32 40 0 0 10 118 0 1 0.61
31 0 0 0 0 19 0 0 32 19 0 0 5 0 53 0.36
3 0 0 5 3 3 0 0 0 4 4 0 0 0 2 0.16
3 1 0 0 2 0 4 0 11 4 17 1 11 0 5 0.33
0 0 4 0 3 1 0 0 0 5 4 3 0 0 0 0.13
1 6 18 1 4 0 2 0 0 0 12 0 0 0 0 0.22
4 0 2 10 5 2 1 0 2 0 8 3 1 9 1 0.32
1 0 2 6 2 1 1 0 0 3 0 0 3 4 2 0.16
0 4 0 0 0 0 0 0 3 1 6 3 1 2 0 0.13
5 11 0 6 2 10 3 0 0 2 5 0 4 8 1 0.37
0 0 0 0 3 3 0 5 0 0 0 0 2 0 1 0.09
0 3 0 3 0 0 0 0 2 2 4 0 0 0 0 0.09
35 48 34 24 0 33 20 0 49 6 45 4 31 0 62 0.73
12 11 51 50 0 23 48 36 0 29 35 69 0 0 10 0.73
0 3 3 2 11 5 0 9 0 5 3 13 2 0 1 0.35
0 4 0 3 0 4 0 4 0 0 0 0 2 0 0 0.11
0 0 0 0 3 3 4 0 0 4 0 0 0 3 0 0.11
0 6 0 3 11 3 3 10 0 6 1 6 0 3 10 0.4
2 0 0 0 3 0 2 0 8 0 4 2 21 2 11 0.28
0 0 1 0 1 0 0 4 0 4 0 2 0 0 2 0.09
35 0 0 0 16 0 38 0 22 0 0 35 23 31 0 0.46
14 24 2 3 2 1 7 8 6 11 12 14 8 9 2 0.65
0 1 4 7 0 7 5 2 0 0 9 0 4 0 2 0.27
13 0 7 0 5 10 12 1 3 0 9 16 0 14 10 0.56
0 6 12 1 10 4 0 0 15 9 8 11 6 15 13 0.62
10 5 0 0 10 5 3 3 6 1 12 1 10 7 10 0.53
3 0 0 0 5 0 2 0 0 0 4 0 1 0 3 0.12
0 0 0 11 0 1 0 13 11 0 1 1 10 1 6 0.33
38 40 44 6 47 32 0 41 45 0 20 0 58 36 5 0.74
6 6 0 0 0 3 0 3 2 0 4 1 0 0 0 0.16
46 0 0 0 3 12 42 18 0 0 37 20 51 33 39 0.62
0 0 3 0 2 6 3 1 23 13 9 0 22 2 5 0.4
12 0 0 11 2 1 11 0 0 14 2 3 2 3 0 0.35
0 0 3 13 0 0 6 0 14 0 0 24 3 0 0 0.28
16 1 3 11 5 0 3 0 1 0 0 0 9 2 0 0.29
1 0 0 0 7 4 14 0 10 0 3 2 0 4 5 0.3
2 0 1 3 1 0 3 0 0 0 0 0 0 0 1 0.07
0 0 4 4 1 6 5 0 6 0 0 4 1 0 3 0.22
19 14 0 14 15 2 0 7 7 19 4 14 13 8 0 0.65
